drug_name,g2032r_score
Lomitapide,-10.955
Dutasteride,-10.841
Lomitapide Mesylate,-10.745
entrectinib,-10.662
Zafirlukast (ICI-204219),-10.66
Bardoxolone Methyl,-10.588
Entrectinib (RXDX-101),-10.512
Tucatinib,-10.367
Irinotecan hydrochloride,-10.271
Irinotecan (CPT-11) HCl Trihydrate,-10.27
Olverembatinib dimesylate (HQP1351),-10.263
umbralisib (TGR-1202),-10.262
Irinotecan (CPT-11),-10.258
Avapritinib (BLU-285),-10.237
Asiatic Acid,-10.191
Ponatinib (AP24534),-10.185
Ubrogepant,-10.145
Tepotinib (EMD 1214063),-10.143
Enzastaurin (LY317615),-10.129
Enoxolone,-10.115
Glycyrrhetinic acid,-10.074
Bromocriptine Mesylate,-10.041
Gamma-Oryzanol,-10.031
Aprepitant (MK-0869),-10.017
Piperaquine phosphate,-10.01
Nilotinib hydrochloride,-9.977
Nilotinib hydrochloride monohydrate,-9.945
Azilsartan Medoxomil,-9.936
Pralsetinib (BLU-667),-9.934
Fluzoparib (SHR-3162),-9.929
Nilotinib (AMN-107),-9.926
Netupitant,-9.861
Radotinib,-9.838
Lifitegrast,-9.808
Tanshinone I,-9.803
Troglitazone (CS-045),-9.802
Gliquidone,-9.801
Candesartan Cilexetil,-9.772
Chlorhexidine diacetate,-9.766
Fluorescein,-9.757
Lorlatinib?(PF-6463922),-9.735
Eltrombopag,-9.718
Amcinonide,-9.712
Dabrafenib Mesylate,-9.7
Dabrafenib (GSK2118436),-9.682
Lumacaftor (VX-809),-9.656
Fluralaner,-9.649
Telmisartan,-9.574
Cefoperazone,-9.556
Saquinavir Mesylate,-9.367
Imatinib (STI571),-9.364
zidesamtinib,-9.1
taletrectinib,-9.02
Ceritinib (LDK378),-8.947
Ceritinib dihydrochloride,-8.865
lorlatinib,-8.763
Meisoindigo,-8.754
(S)-crizotinib,-8.728
Crizotinib hydrochloride,-8.472
Crizotinib (PF-02341066),-8.439
crizotinib,-8.331
repotrectinib,-7.891
Repotrectinib (TPX-0005),-7.245
